Address,Latitude,Longitude,Annual_GHI,Annual_DNI,Annual_Tilt_Latitude,GHI_jan,GHI_feb,GHI_mar,GHI_apr,GHI_may,GHI_jun,GHI_jul,GHI_aug,GHI_sep,GHI_oct,GHI_nov,GHI_dec,nearest_substation_km,tilt_deg,solar_score,acres,price
"47A N Sturbridge Rd, Charlton, MA 01507",42.171701,-71.986479,3.83,3.8,4.55,1.93,2.73,3.84,4.8,5.3,5.56,5.82,5.17,4.21,2.9,1.96,1.65,0.4234552448302299,7.554979100253022,46.87332601202113,2.67,24900
"6798 Little Sandy Rd, Elkview, WV 25071",38.41763,-81.508285,3.94,3.69,4.48,1.92,2.65,3.66,4.76,5.53,6.02,5.69,5.43,4.42,3.2,2.22,1.71,3.665194309204894,17.86326781484181,46.1226379173929,27.0,49900
"7304 Shady Ln, Scurry, TX 75158",32.520004,-96.362214,4.69,4.85,5.24,2.74,3.44,4.2,5.55,5.96,6.54,6.81,6.26,5.11,3.95,3.04,2.59,1.0887038365095194,1.4784784470693857,61.80612677453004,364.17,3100000
"7361 Crystal Boulevard, El Dorado, CA 95623",38.595425,-120.860612,5.05,5.88,5.76,2.05,2.82,4.6,5.91,7.28,8.07,8.04,7.2,5.81,4.18,2.59,1.93,10.346107346884924,16.475181485840228,50.37362671407113,3.0,25000
"7841 Highway 1690, Louisa, KY 41230",37.920303,-82.648041,4.02,3.79,4.57,1.99,2.69,3.72,4.85,5.64,6.08,5.79,5.49,4.49,3.29,2.36,1.76,8.06444993441579,15.572107550212046,50.80801486873998,48.0,49900
"832 S 88th St, Lincoln, NE 68520",40.803718,-96.601028,4.25,4.64,5.04,2.06,2.97,3.98,5.07,5.92,6.45,6.52,5.73,4.78,3.33,2.28,1.79,0.6856608588279627,5.78794580527843,51.51758568476674,0.34,170000
"853 County Road 50, Ozark, AL 36360",31.518072,-85.642945,4.69,4.58,5.25,2.88,3.74,4.82,5.82,6.49,6.25,6.01,5.59,4.77,4.05,3.27,2.59,1.4792577204268995,3.1188202164067893,60.08985975386235,410.0,3500000
"999 Rose Creek Cemetery Rd, Williamsburg, KY 40769",36.776742,-84.08721,4.12,3.86,4.67,2.13,2.82,3.88,4.96,5.76,6.09,5.74,5.61,4.59,3.43,2.48,1.91,3.841325636471474,16.436319213954402,53.13713802455931,118.5,130000
"Bb, Olney Springs, CO 81062",38.480202,-104.001019,5.16,6.69,6.18,2.72,3.62,4.93,6.16,7.13,7.67,7.55,6.72,5.65,4.21,3.04,2.45,22.51486095991729,0.8026132511826003,76.99037329655039,4005.0,2950000
"Big Draft Rd, White Sulphur Springs, WV 24986",37.855912,-80.277296,4.1,3.99,4.74,2.27,3.08,4.13,5.05,5.58,5.95,5.61,5.37,4.34,3.33,2.41,1.98,8.375778107761993,10.83097736359629,48.07962593884403,399.1,900000
"County Road 107, Aspermont, TX 79502",33.0406,-100.188739,5.15,5.91,5.87,3.16,3.85,4.95,6.32,6.65,7.14,7.17,6.43,5.54,4.25,3.38,2.92,5.375810624652554,0.5544346067443519,69.11695582319315,812.41,2437215
"County Road 121, Walsenburg, CO 81089",37.750172,-104.634282,5.17,6.87,6.18,2.91,3.72,5.06,6.03,7.12,7.57,7.33,6.5,5.65,4.29,3.24,2.5,12.513518730914832,4.682506163912586,70.68484574794913,352.0,352000
"County Road 131, Kenedy, TX 78119",28.723914,-97.706781,4.76,4.49,5.15,2.86,3.51,4.31,5.34,6.2,6.62,6.48,6.18,5.19,4.3,3.33,2.7,9.412711740264877,0.9457797157643024,58.95246373180918,411.61,3500000
"County Road 210, Pittsboro, MS 38951",33.954651,-89.374261,4.51,4.41,5.06,2.46,3.22,4.32,5.46,6.04,6.56,6.17,5.96,4.9,3.88,2.86,2.22,3.497516886113422,3.007990500210896,59.51325206499472,650.0,1755000
"County Road 409, Corinth, MS 38834",34.798191,-88.540283,4.44,4.34,5.0,2.34,3.15,4.25,5.38,6.05,6.49,6.15,5.85,4.83,3.76,2.76,2.16,1.551404440104824,1.5796398911420777,60.74217026989093,319.0,1036750
"Fm 281, Sunray, TX 79086",36.031368,-101.836683,5.18,6.31,6.05,2.94,3.73,4.94,6.38,7.05,7.46,7.44,6.45,5.54,4.19,3.26,2.63,7.5444163858678275,0.4773275527811537,70.02786540997377,357.91,825000
"Fm 617, Weinert, TX 76388",33.330419,-99.678312,5.11,5.82,5.82,3.1,3.82,4.86,6.25,6.64,7.06,7.2,6.45,5.47,4.2,3.31,2.85,0.938675650270698,0.4906257980694418,72.4036376217218,338.77,762075
"Memorial Rd, Lone Grove, OK 73443",34.184994,-97.3727,4.72,5.15,5.37,2.74,3.57,4.34,5.6,6.02,6.59,6.93,6.27,5.16,3.87,2.98,2.55,2.9046495703940165,1.5210666841519955,61.45583387365715,317.08,2536640
"Parker St, Hornsby, TN 38044",35.23768,-88.825613,4.37,4.26,4.92,2.26,3.01,4.08,5.29,5.97,6.53,6.13,5.88,4.78,3.68,2.67,2.08,1.990765330715496,1.9711508220521008,61.847540197951524,755.0,1396750
"SE 3rd Pl LOT 11, Gainesville, FL 32641",29.648883,-82.185543,4.81,4.67,5.34,3.26,4.02,5.09,6.16,6.6,5.91,5.87,5.43,4.63,4.15,3.55,2.95,5.678639128670694,4.9529405010086425,56.958172034231104,10.13,160000
"State Highway 25 S, Electra, TX 76360",33.797039,-98.799745,4.95,5.57,5.65,2.97,3.68,4.7,5.97,6.42,6.87,7.08,6.38,5.34,4.03,3.21,2.72,10.332273756633928,0.7559881686972917,64.21963739009368,376.75,1224500
"Three Queens Mine Rd, Foresthill, CA 95631",39.010088,-120.80049,5.05,6.21,5.82,2.11,2.83,4.48,5.74,7.19,8.15,8.18,7.31,5.85,4.16,2.58,1.91,2.775669253073529,31.405571610141337,59.15274089566499,148.0,199000
"Tuckahoe Rd, White Sulphur Springs, WV 24986",37.732613,-80.28217,4.07,3.97,4.72,2.29,3.05,4.14,4.93,5.51,5.88,5.61,5.32,4.36,3.33,2.4,2.0,4.182938002879659,10.93246337241497,48.92424202634133,379.53,995000
"Woods Rd, Isle, MN 56342",46.100162,-93.388552,3.76,4.19,4.57,1.54,2.32,3.55,5.0,5.61,6.01,6.42,5.23,4.03,2.43,1.6,1.31,7.4824108048386275,1.48701282484969,52.04072743959439,360.0,759500
"H, Captain Cook, HI 96704",19.497514,-155.940458,5.25,4.77,5.54,4.41,4.83,5.34,5.68,5.53,5.71,6.15,6.06,5.51,5.13,4.44,4.2,2.8645440300247147,8.504113928066632,60.59502361080925,10.0,245000
"555 Hokiokio Pl, Lahaina, HI 96761",20.866856,-156.654587,6.08,6.81,6.43,4.51,5.38,6.0,6.86,7.23,7.32,7.29,7.18,6.56,5.61,4.73,4.27,2.0112530194529645,7.835962593788741,69.24215103184711,1.66,425000
"10422 W Red Bluff Rd, Williams, AZ 86046",35.5157361,-112.3254043,5.5,7.68,6.47,3.13,3.91,5.49,6.88,7.94,8.27,6.91,6.3,5.87,4.8,3.63,2.86,11.14738583855939,2.948803578455532,70.80243149995816,17.7,33000
"49064 Hills Creek Rd, Oakridge, OR 97463",43.721497,-122.425293,4.14,4.79,4.83,1.5,2.44,3.45,4.74,5.79,6.79,7.53,6.51,4.96,2.99,1.6,1.29,1.2165838916316705,27.45219367318101,42.999937585435234,35.0,179000
"456 7 Springs Dairy Road, Davenport, WA 99122",47.595193,-118.52876,4.1,5.12,4.94,1.07,2.14,3.65,5.25,6.31,6.9,7.47,6.38,4.71,2.88,1.36,0.92,16.11979885137844,2.978646281433307,57.242024138332425,36.7,34950
"Nna Upper Manley Creek Rd W, Laclede, ID 83841",48.200868,-116.786052,3.77,4.64,4.55,1.1,2.05,3.18,4.82,5.73,6.15,7.19,6.04,4.32,2.47,1.17,0.96,3.3005084295277776,17.62710117442889,38.089207371664564,10.0,99900
"975 Spring Hill Rd, Kila, MT 59920",48.110389,-114.402063,3.76,4.56,4.53,1.17,2.11,3.17,4.84,5.69,6.11,7.14,5.81,4.23,2.47,1.28,0.97,4.41608454276235,14.496511172005462,39.63954005312317,40.0,200000
"3500 E Sheldon Rd LOT 1, Prescott, AZ 86303",34.448143,-112.405653,5.51,7.66,6.42,3.26,4.06,5.45,6.9,7.97,8.35,6.76,6.02,5.71,4.82,3.71,3.04,10.93485017420248,18.689514005493866,55.918939916991086,2.12,69990
"12507 Mesa View Rd, Williams, AZ 86046",35.475941,-112.149296,5.46,7.64,6.43,3.18,3.97,5.52,6.88,7.87,8.25,6.68,6.07,5.78,4.78,3.62,2.89,5.788980351245057,2.2798255141033,68.918293639991,12.0,69000
"51901 Stivers Road, Laytonville, CA 95454",39.797368,-123.462628,4.92,6.09,5.67,1.99,2.63,4.25,5.63,7.05,7.97,8.17,7.22,5.82,4.04,2.32,1.77,12.580375053629046,13.726858223117528,50.59217248170241,47.0,195000
"12559 Chinchilla Way, Williams, AZ 86046",35.433965,-112.131934,5.46,7.64,6.43,3.18,3.97,5.52,6.88,7.87,8.25,6.68,6.07,5.78,4.78,3.62,2.89,7.689156186178589,5.1619551855060655,70.09382071714228,40.0,68000
"77 Skyhaven Mtn, Duck Creek Village, UT 84762",37.534677,-112.658156,5.11,7.08,6.01,2.78,3.37,4.96,6.03,7.38,8.04,6.92,6.29,5.51,4.28,3.14,2.49,1.9153410374083293,7.521270389732131,64.45738823426652,5.01,12000
"151 Big Clearing Rd, Roundup, MT 59072",46.28759,-108.456442,4.08,5.17,5.0,1.47,2.47,3.71,5.02,6.06,6.59,7.16,6.1,4.49,2.84,1.71,1.27,2.5267208405805834,9.707212232658078,47.9516342216044,37.26,159900
"312 Windmill Rd, Ancho, NM 88301",33.968025,-105.806286,5.59,7.53,6.55,3.5,4.4,5.65,7.09,7.72,7.84,6.87,6.32,5.89,4.78,3.83,3.17,36.2986984401105,3.4992207878143704,81.28651058370073,30.0,18000
"1605 Crystal Peak Rd, Fernwood, ID 83830",47.127641,-116.360232,3.85,4.74,4.61,1.25,2.08,3.23,4.85,5.58,6.23,7.34,6.12,4.43,2.53,1.32,1.06,38.268849804972,19.06455632170473,31.496233087507647,5.2,50000
"4095 Green Valley Rd, Rescue, CA 95672",38.710546,-120.957801,5.05,5.94,5.78,2.09,2.87,4.59,5.89,7.25,8.1,8.07,7.22,5.8,4.15,2.58,1.9,5.745483616810986,14.830598631060672,51.65172400962472,6.4,250000
"6002 S Coulters Mill Rd, Oreana, IL 62554",39.9243,-88.825024,4.07,4.08,4.7,1.83,2.74,3.91,4.9,5.59,6.31,6.32,5.51,4.63,3.22,2.13,1.66,4.652339826912953,2.9738071495274383,50.7189153939943,11.65,95000
"Mill Crk, Battle Mountain, NV 89820",40.370621,-117.010903,5.03,6.74,5.97,2.21,3.11,4.65,5.91,7.14,7.87,7.78,7.1,5.78,4.16,2.57,1.95,5.994376153372499,2.881610047234315,77.03599753482705,324.16,229000
"Lovell Canyon Rd, Las Vegas, NV 89124",36.091901,-115.568188,5.72,8.12,6.73,3.18,3.87,5.63,6.93,8.02,8.53,7.73,7.09,6.24,4.82,3.58,2.86,10.831541504881148,27.89595406236001,56.625009872419405,2.0,199000
"Highway 339, Yerington, NV 89447",38.91046,-119.189527,5.29,7.28,6.31,2.56,3.45,5.16,6.34,7.39,8.05,7.82,7.1,5.99,4.41,2.95,2.21,6.462389385425432,0.9678603863689728,69.48105125338145,34.0,110000
"Canyon Peak, Pioche, NV 89043",38.007673,-114.050549,5.26,7.45,6.21,2.82,3.46,5.09,6.22,7.41,8.02,7.35,6.78,5.83,4.33,3.17,2.5,38.35611444202524,23.700488454107205,50.84092070473957,16.68,60000
"405 Stallion Dr, Reno, NV 89510",39.820798,-119.541123,5.17,7.03,6.13,2.31,3.13,4.85,6.11,7.3,8.05,8.04,7.23,5.94,4.25,2.73,2.02,14.667589334954895,20.360229530739804,65.71945234161916,107.17,79000
"8099 S Crystal Springs Rd, McCammon, ID 83250",42.643633,-112.135922,4.37,5.45,5.04,1.24,2.13,3.78,5.38,6.49,7.28,7.52,6.48,5.13,3.51,2.07,1.33,4.43180000661,17.37,45.93564862173375,20.0,80000
